"lx","ly","h","phi","Amplitude","Phase"
0.3,0.279,0.351,75,-0.000353999999999993,0.7129
0.242,0.249,0.428,75,0.04385,0.393
0.165,0.21,0.454,75,0.31337,2.4425
0.268,0.238,0.387,75,-0.04153,0.812814692820414
0.153,0.267,0.356,90,0.746541,1.8467
0.063,0.213,0.444,90,0.971501,1.52658530717959
0.076,0.282,0.346,90,0.978004,1.5104
0.281,0.295,0.418,90,0.08771,0.6358
0.21,0.223,0.495,90,0.102631,2.3991
0.274,0.236,0.469,90,0.03431,1.6442
0.204,0.297,0.382,90,0.549194,1.94637969282041
0.236,0.29,0.31,90,0.37147,2.0812
0.249,0.215,0.433,90,0.04103,1.653
0.172,0.241,0.438,90,0.52728,2.1541
0.127,0.231,0.49,90,0.7555768,1.872
0.191,0.259,0.408,90,0.476184,1.78041469282041
0.082,0.262,0.392,90,0.953055,1.48753469282041
0.255,0.272,0.449,90,0.10971,0.6673
0.108,0.228,0.413,90,0.926574,1.59901469282041
0.159,0.3,0.315,90,0.895022,1.7697
0.121,0.254,0.459,90,0.927496,1.6158
0.294,0.244,0.336,90,0.0501,1.8812
0.114,0.277,0.305,90,0.966057,1.4707
0.14,0.205,0.326,90,0.565998,1.8487
0.262,0.203,0.479,90,0.137719,2.254
0.223,0.221,0.321,90,0.00440000000000002,0.347799999999999
0.217,0.264,0.367,90,0.28966,1.3741
0.05,0.292,0.403,90,0.964076,1.50911530717959
0.095,0.246,0.331,90,0.935223,1.5374
0.088,0.269,0.5,90,0.941166,1.2985
0.056,0.226,0.341,90,0.963376,1.4361
0.101,0.285,0.464,90,0.9303018,1.41951369282041
0.178,0.251,0.485,90,0.53248,2.2935
0.133,0.233,0.362,90,0.77216,1.7491
0.229,0.256,0.3,90,0.20569,1.598
0.197,0.274,0.474,90,0.531439,2.0952
0.146,0.287,0.423,90,0.840019,1.62387469282041
0.185,0.218,0.397,90,0.26264,1.74731469282041
0.287,0.208,0.377,90,-0.073,1.91142469282041
0.069,0.2,0.372,90,0.942504,1.2992
0.3,0.279,0.351,90,0.01929,0.8755
0.242,0.249,0.428,90,0.05509,0.4067
0.165,0.21,0.454,90,0.35061,2.4515
0.268,0.238,0.387,90,-0.0348,1.01061469282041
